AtomicMass,PartialPressure
29.9,2.35e-06
30,2.18e-06
30.1,2.22e-06
30.2,1.89e-06
30.3,1.68e-06
30.4,4.06e-07
30.5,1.35e-07
30.6,1.18e-07
30.7,1.5e-07
30.8,1.9e-07
30.9,2.35e-07
31,2.47e-07
31.1,2.53e-07
31.2,2.38e-07
31.3,2.31e-07
31.4,1.57e-07
31.5,1.39e-07
31.6,2.98e-07
31.7,4.94e-07
31.8,6.3e-07
31.9,7.31e-07
32,6.92e-07
32.1,6.95e-07
32.2,6.03e-07
32.3,5.44e-07
32.4,2.18e-07
32.5,8.45e-08
32.6,4.46e-08
32.7,2.96e-08
32.8,2.29e-08
32.9,1.97e-08
33,1.85e-08
33.1,1.77e-08
33.2,1.55e-08
33.3,1.42e-08
33.4,1.05e-08
33.5,7.2e-09
33.6,6.35e-09
33.7,6.85e-09
33.8,7.55e-09
33.9,8.77e-09
34,8.62e-09
34.1,9.23e-09
34.2,9.97e-09
34.3,1.04e-08
34.4,8.23e-09
34.5,5.99e-09
34.6,6.51e-09
34.7,8.71e-09
34.8,1.09e-08
34.9,1.33e-08
35,1.51e-08
35.1,1.63e-08
35.2,1.55e-08
35.3,1.56e-08
35.4,1.22e-08
35.5,1.52e-08
35.6,3.28e-08
35.7,5.52e-08
35.8,7.82e-08
35.9,9.85e-08
36,1.08e-07
36.1,1.12e-07
36.2,1.06e-07
36.3,9.85e-08
36.4,6.26e-08
36.5,3.43e-08
36.6,2.73e-08
36.7,3.04e-08
36.8,3.65e-08
36.9,4.48e-08
37,5.22e-08
37.1,5.58e-08
37.2,5.67e-08
37.3,5.5e-08
37.4,4.38e-08
37.5,3.12e-08
37.6,4.01e-08
37.7,5.95e-08
37.8,8.27e-08
37.9,1.06e-07
38,1.2e-07
38.1,1.24e-07
38.2,1.22e-07
38.3,1.17e-07
38.4,9.32e-08
38.5,6.35e-08
38.6,8.13e-08
38.7,1.5e-07
38.8,2.25e-07
38.9,3.02e-07
39,3.52e-07
39.1,3.54e-07
39.2,3.42e-07
39.3,3.08e-07
39.4,2.35e-07
39.5,1.09e-07
39.6,8.09e-08
39.7,9.63e-08
39.8,1.21e-07
39.9,1.5e-07
40,1.75e-07
40.1,1.82e-07
40.2,1.8e-07
40.3,1.67e-07
40.4,1.4e-07
40.5,9.17e-08
40.6,1.17e-07
40.7,2.38e-07
40.8,3.6e-07
40.9,4.67e-07
41,5.52e-07
41.1,5.55e-07
41.2,5.47e-07
41.3,4.72e-07
41.4,4.01e-07
41.5,1.9e-07
41.6,1.8e-07
41.7,2.97e-07
41.8,4.11e-07
41.9,5.27e-07
42,6.06e-07
42.1,6.1e-07
42.2,5.87e-07
42.3,5.3e-07
42.4,4.22e-07
42.5,2.47e-07
42.6,4.86e-07
42.7,1e-06
42.8,1.3e-06
42.9,1.64e-06
43,1.81e-06
43.1,1.83e-06
43.2,1.75e-06
43.3,1.67e-06
43.4,1.34e-06
43.5,1.41e-06
43.6,4.7e-06
43.7,6.51e-06
43.8,7.84e-06
43.9,9.65e-06
44,9.73e-06
44.1,9.97e-06
44.2,8.25e-06
44.3,7.98e-06
44.4,2.77e-06
44.5,3.93e-07
44.6,2.14e-07
44.7,2.89e-07
44.8,3.73e-07
44.9,4.7e-07
45,5.5e-07
45.1,5.65e-07
45.2,5.43e-07
45.3,4.69e-07
45.4,3.76e-07
45.5,1.62e-07
45.6,1.03e-07
45.7,1.18e-07
45.8,1.47e-07
45.9,1.83e-07
46,2.19e-07
46.1,2.35e-07
46.2,2.38e-07
46.3,2.08e-07
46.4,1.73e-07
46.5,9.07e-08
46.6,5.02e-08
46.7,3.88e-08
46.8,3.82e-08
46.9,4.12e-08
47,4.57e-08
47.1,4.88e-08
47.2,5.08e-08
47.3,4.94e-08
47.4,4.38e-08
47.5,3.17e-08
47.6,2.69e-08
47.7,3.28e-08
47.8,4.16e-08
47.9,5.41e-08
48,6.5e-08
48.1,7.16e-08
48.2,7.19e-08
48.3,6.62e-08
48.4,5.2e-08
48.5,2.9e-08
48.6,1.78e-08
48.7,1.38e-08
48.8,1.3e-08
48.9,1.36e-08
49,1.48e-08
49.1,1.59e-08
49.2,1.71e-08
49.3,1.67e-08
